Tempo,Canal 0,Canal 1
1702557206.0259373,0.0,0.0
1702557206.027938,0.0,0.0
1702557206.029938,0.0,0.0
1702557206.031938,0.0,0.0
1702557206.0378823,0.0,0.0
1702557206.0438879,0.0499,0.0235
1702557206.046883,0.7586,0.8456
1702557206.0506356,1.0,1.0
1702557206.0546575,1.0,1.0
1702557206.0596533,1.0,1.0
1702557206.0626686,1.0,1.0
1702557206.068142,1.0,1.0
1702557206.0711386,0.5826,0.6461
1702557206.0755072,0.0108,0.0
1702557206.0790417,0.0,0.0
1702557206.0820422,0.0,0.0
1702557206.0868957,0.0,0.0
1702557206.0894322,0.0,0.0
1702557206.0934324,0.0,0.0
1702557206.0964308,0.0,0.0
1702557206.100689,0.0,0.0
1702557206.10471,0.0156,0.0
1702557206.1087127,0.6109,0.5846
1702557206.1117115,1.0,1.0
1702557206.1158633,1.0,1.0
1702557206.120214,1.0,1.0
1702557206.1232193,0.998,1.0
1702557206.1272185,1.0,1.0
1702557206.130221,0.8328,0.8583
1702557206.1340816,0.1574,0.0665
1702557206.1380994,0.0,0.0
1702557206.1411064,0.0,0.0
1702557206.1440942,0.0,0.0
1702557206.147098,0.0,0.0
1702557206.1558738,0.0,0.0
1702557206.1618729,0.0049,0.0
1702557206.1661873,0.0186,0.0
1702557206.1695273,0.001,0.0
1702557206.1735265,0.001,0.0
1702557206.178528,0.3245,0.2835
1702557206.182521,1.0,1.0
1702557206.1859324,1.0,1.0
1702557206.1889315,1.0,1.0
1702557206.1929297,1.0,1.0
1702557206.19593,1.0,1.0
1702557206.1998374,0.9765,0.9941
1702557206.2035108,0.3187,0.3021
1702557206.2075105,0.0,0.0
1702557206.2105095,0.0147,0.0
1702557206.2145119,0.0,0.0
1702557206.2182124,0.0,0.0
1702557206.2222126,0.0,0.0
1702557206.2262125,0.0,0.0
1702557206.2292142,0.0,0.0
1702557206.234118,0.0029,0.0
1702557206.2381318,0.1222,0.0743
1702557206.2421358,0.8495,0.9648
1702557206.2461374,1.0,1.0
1702557206.2506485,1.0,1.0
1702557206.25367,0.9951,1.0
1702557206.2576718,1.0,1.0
1702557206.2616687,1.0,1.0
1702557206.2724342,0.4536,0.521
1702557206.2764301,0.0,0.0
1702557206.2804275,0.0,0.0
1702557206.2843208,0.0,0.0
1702557206.288337,0.0,0.0
1702557206.2923386,0.0,0.0
1702557206.294344,0.0,0.0
1702557206.2973359,0.0,0.0
1702557206.3017638,0.0078,0.0
1702557206.3057606,0.0293,0.0078
1702557206.309759,0.6872,0.7283
1702557206.312758,0.9619,1.0
1702557206.3166606,1.0,1.0
1702557206.3203166,1.0,1.0
1702557206.323317,1.0,1.0
1702557206.3273158,1.0,1.0
1702557206.3313177,1.0,1.0
1702557206.3352137,0.7107,0.7488
1702557206.3392162,0.0684,0.0
1702557206.34321,0.0059,0.0
1702557206.347213,0.0,0.0
1702557206.3507473,0.0,0.0
1702557206.3548155,0.0,0.0
1702557206.357816,0.0108,0.0
1702557206.3608198,0.0,0.0
1702557206.3628197,0.0137,0.0
1702557206.36482,0.0078,0.0
1702557206.3695877,0.4721,0.4194
1702557206.371587,1.0,1.0
1702557206.3745873,1.0,1.0
1702557206.3765867,1.0,1.0
1702557206.379587,1.0,1.0
1702557206.3815873,1.0,1.0
1702557206.3879163,0.9062,0.9355
1702557206.3919165,0.2405,0.172
1702557206.393916,0.0,0.0
1702557206.3959115,0.0,0.0
1702557206.3979108,0.0,0.0
1702557206.4009147,0.0,0.0
1702557206.4039168,0.0,0.0
1702557206.406905,0.0,0.0
1702557206.4089048,0.0,0.0
1702557206.4109044,0.0166,0.0
1702557206.4129038,0.1994,0.172
1702557206.414904,0.9824,1.0
1702557206.4173079,1.0,1.0
1702557206.4193313,1.0,1.0
1702557206.4213314,1.0,1.0
1702557206.4233313,1.0,1.0
1702557206.4253318,1.0,1.0
1702557206.427331,0.3627,0.3871
1702557206.4283316,0.0,0.0
1702557206.4303315,0.0,0.0
1702557206.4333467,0.0,0.0
1702557206.4347699,0.0,0.0
1702557206.4367685,0.0,0.0
1702557206.4387681,0.0,0.0
1702557206.4407685,0.0,0.0
1702557206.4427686,0.0,0.0
1702557206.4447677,0.0,0.0
1702557206.446768,0.0635,0.0899
1702557206.4487677,0.781,1.0
1702557206.451596,1.0,1.0
1702557206.4535909,1.0,1.0
1702557206.455591,1.0,1.0
1702557206.4575908,1.0,1.0
1702557206.4595907,1.0,1.0
1702557206.461594,0.564,0.5024
1702557206.4635928,0.0,0.0
1702557206.4655936,0.0,0.0
1702557206.4683807,0.0,0.0
1702557206.4703765,0.0,0.0
1702557206.4723754,0.0,0.0
1702557206.4743762,0.0,0.0
1702557206.4763749,0.0,0.0
1702557206.478376,0.0049,0.0
1702557206.4803753,0.0147,0.0029
1702557206.4834526,0.6207,0.7155
1702557206.4861188,1.0,1.0
1702557206.4881198,1.0,1.0
1702557206.4901195,1.0,1.0
1702557206.492124,1.0,1.0
1702557206.4941196,1.0,1.0
1702557206.495119,0.8309,0.8094
1702557206.5032692,0.1398,0.0
1702557206.506255,0.0,0.0
1702557206.5082552,0.0,0.0
1702557206.5102549,0.0,0.0
1702557206.512254,0.0,0.0
1702557206.5132544,0.0,0.0
1702557206.5162532,0.0,0.0
1702557206.5184677,0.0,0.0
1702557206.5214677,0.0,0.0
1702557206.5234616,0.3509,0.3157
1702557206.525462,1.0,1.0
1702557206.5274606,1.0,1.0
1702557206.5294626,1.0,1.0
1702557206.5314612,1.0,1.0
1702557206.5340345,1.0,1.0
1702557206.5360603,1.0,0.9795
1702557206.5380588,0.4682,0.1632
1702557206.5400586,0.0,0.0
1702557206.542059,0.0,0.0
1702557206.5440588,0.0,0.0
1702557206.5460587,0.0,0.0
1702557206.5480604,0.0,0.0
1702557206.5508175,0.0,0.0
1702557206.553842,0.0,0.0
1702557206.554841,0.0,0.0
1702557206.5568428,0.0196,0.0802
1702557206.558841,0.6764,1.0
1702557206.5608408,1.0,1.0
1702557206.5628412,1.0,1.0
1702557206.564846,1.0,1.0
1702557206.5675683,1.0,1.0
1702557206.5705943,1.0,1.0
1702557206.5725927,0.8065,0.5406
1702557206.574594,0.0929,0.0
1702557206.5755923,0.0,0.0
1702557206.5785954,0.0,0.0
1702557206.579593,0.0,0.0
1702557206.5815926,0.0,0.0
1702557206.5850675,0.0117,0.0
1702557206.5870667,0.0059,0.0
1702557206.5890663,0.0,0.0
1702557206.5910661,0.0049,0.0
1702557206.593068,0.3255,0.6999
